user_id,username,lastfm_name,join_date,password,email
59,NULL,Roelven,NULL,NULL,NULL
60,NULL,BecFrost,NULL,NULL,NULL
61,NULL,gracehn001,NULL,NULL,NULL
62,NULL,saulklein,NULL,NULL,NULL
63,NULL,arrdis,NULL,NULL,NULL
64,NULL,jarvis,NULL,NULL,NULL
65,NULL,fascinated,NULL,NULL,NULL
66,NULL,HawkeVIPER,NULL,NULL,NULL
67,NULL,marquezmj,NULL,NULL,NULL
68,NULL,julians,NULL,NULL,NULL
69,NULL,david,NULL,NULL,NULL
70,NULL,pellitero,NULL,NULL,NULL
71,NULL,claoi,NULL,NULL,NULL
72,NULL,grazziee,NULL,NULL,NULL
73,NULL,clairewkyb,NULL,NULL,NULL
74,NULL,lumberjack,NULL,NULL,NULL
75,NULL,foreverautumn,NULL,NULL,NULL
76,NULL,Yllona,NULL,NULL,NULL
77,NULL,cakemix,NULL,NULL,NULL
78,NULL,Jonty,NULL,NULL,NULL
79,NULL,nova77LF,NULL,NULL,NULL
80,NULL,muz,NULL,NULL,NULL
81,NULL,mischa,NULL,NULL,NULL
82,NULL,joeyjojo400,NULL,NULL,NULL
83,NULL,BroskiSabor,NULL,NULL,NULL
84,NULL,billyford94,NULL,NULL,NULL
85,NULL,Temporary_Life,NULL,NULL,NULL
86,NULL,conditionals,NULL,NULL,NULL
87,NULL,grichmanoff,NULL,NULL,NULL
88,NULL,meatkatie,NULL,NULL,NULL
89,NULL,jivedanson,NULL,NULL,NULL
90,NULL,cosmic_fur,NULL,NULL,NULL
91,NULL,Overblast,NULL,NULL,NULL
92,NULL,TeAsPoOn969,NULL,NULL,NULL
93,NULL,UncleMart,NULL,NULL,NULL
94,NULL,solakov,NULL,NULL,NULL
95,NULL,fullstride,NULL,NULL,NULL
96,NULL,stargurl,NULL,NULL,NULL
97,NULL,sajones96,NULL,NULL,NULL
98,NULL,theollidude,NULL,NULL,NULL
99,NULL,olivialasky,NULL,NULL,NULL
100,NULL,nichaoia,NULL,NULL,NULL
101,NULL,aCiD2,NULL,NULL,NULL
102,NULL,emlyncorrin,NULL,NULL,NULL
103,NULL,endlesscitylight,NULL,NULL,NULL
104,NULL,spacedentist-tv,NULL,NULL,NULL
105,NULL,pjcreed,NULL,NULL,NULL
106,NULL,kingraam,NULL,NULL,NULL
107,NULL,benleavett,NULL,NULL,NULL
108,NULL,tfwnicholson,NULL,NULL,NULL
109,NULL,StompChicken,NULL,NULL,NULL
110,NULL,roka_0,NULL,NULL,NULL
111,NULL,icegunner,NULL,NULL,NULL
112,NULL,jmpy91,NULL,NULL,NULL
113,NULL,tdhooper,NULL,NULL,NULL
114,NULL,phuedx,NULL,NULL,NULL
115,NULL,alschuma,NULL,NULL,NULL
116,NULL,dmj30,NULL,NULL,NULL
117,NULL,okspud1,NULL,NULL,NULL
118,NULL,pduin,NULL,NULL,NULL
119,NULL,monkeyhacker,NULL,NULL,NULL
120,NULL,skmangal,NULL,NULL,NULL
121,NULL,ChrissieHines,NULL,NULL,NULL
122,NULL,Cookemeister33,NULL,NULL,NULL
123,NULL,DavW,NULL,NULL,NULL
124,NULL,CarbonParlour,NULL,NULL,NULL
125,NULL,darkspark88,NULL,NULL,NULL
126,NULL,drTortoise,NULL,NULL,NULL
127,NULL,isendir,NULL,NULL,NULL
128,NULL,antoniojl,NULL,NULL,NULL
129,NULL,Pbad,NULL,NULL,NULL
130,NULL,Couldtryharder,NULL,NULL,NULL
131,NULL,mhx77,NULL,NULL,NULL
132,NULL,jammus,NULL,NULL,NULL
133,NULL,miadellocca,NULL,NULL,NULL
134,NULL,sideb0ard,NULL,NULL,NULL
135,NULL,CardboardDoctor,NULL,NULL,NULL
136,NULL,marekventur,NULL,NULL,NULL
137,NULL,jukevox,NULL,NULL,NULL
138,NULL,shotformeat,NULL,NULL,NULL
139,NULL,sven,NULL,NULL,NULL
140,NULL,dasistdasende,NULL,NULL,NULL
141,NULL,owenparry,NULL,NULL,NULL
142,NULL,BenWard,NULL,NULL,NULL
143,NULL,skr,NULL,NULL,NULL
144,NULL,theboybythesea,NULL,NULL,NULL
145,NULL,wrgoababd,NULL,NULL,NULL
146,NULL,bobleakster,NULL,NULL,NULL
147,NULL,krawldownslow,NULL,NULL,NULL
148,NULL,KING-OF-RATS,NULL,NULL,NULL
149,NULL,snowingxseason,NULL,NULL,NULL
150,NULL,JulianaVT,NULL,NULL,NULL
151,NULL,SackMyAwesome,NULL,NULL,NULL
152,NULL,MrFallenFlies,NULL,NULL,NULL
153,NULL,BereBatBet,NULL,NULL,NULL
154,NULL,hd_kainot,NULL,NULL,NULL
155,NULL,ol_lya,NULL,NULL,NULL
156,NULL,Octrigon,NULL,NULL,NULL
157,NULL,KsuRamona,NULL,NULL,NULL
158,NULL,Yuffiemi,NULL,NULL,NULL
159,NULL,motollie19,NULL,NULL,NULL
160,NULL,ru88,NULL,NULL,NULL
161,NULL,Efrentonto,NULL,NULL,NULL
162,NULL,egooorkaaa,NULL,NULL,NULL
163,NULL,Crystalseth,NULL,NULL,NULL
164,NULL,uoLreveJ,NULL,NULL,NULL
165,NULL,mtkb,NULL,NULL,NULL
166,NULL,htbreaker,NULL,NULL,NULL
167,NULL,xARTIx,NULL,NULL,NULL
168,NULL,Kenji-kun,NULL,NULL,NULL
169,NULL,maxgoth,NULL,NULL,NULL
170,NULL,Chew-BACH-a,NULL,NULL,NULL
171,NULL,ode_of_fallen,NULL,NULL,NULL
172,NULL,BimaPamungkas,NULL,NULL,NULL
173,NULL,necrochaves,NULL,NULL,NULL
174,NULL,Adinnata,NULL,NULL,NULL
175,NULL,OhoholafRoukens,NULL,NULL,NULL
176,NULL,weareshizune,NULL,NULL,NULL
177,NULL,Zriko,NULL,NULL,NULL
178,NULL,DEFEATOFCTHULHU,NULL,NULL,NULL
179,NULL,FINDmy_wayBACK,NULL,NULL,NULL
180,NULL,Conspiracy25,NULL,NULL,NULL
181,NULL,cezoasd,NULL,NULL,NULL
182,NULL,MaikMoreira,NULL,NULL,NULL
183,NULL,blitz0pfer,NULL,NULL,NULL
184,NULL,Galadaa,NULL,NULL,NULL
185,NULL,evgeniytim,NULL,NULL,NULL
186,NULL,boksia,NULL,NULL,NULL
187,NULL,kmiet14,NULL,NULL,NULL
188,NULL,pomeloco,NULL,NULL,NULL
189,NULL,out-of-reach,NULL,NULL,NULL
190,NULL,Truitator,NULL,NULL,NULL
191,NULL,illusionen_rpqh,NULL,NULL,NULL
192,NULL,H3nkk1s,NULL,NULL,NULL
193,NULL,luzkreig,NULL,NULL,NULL
194,NULL,peggyfioretti,NULL,NULL,NULL
195,NULL,kyliepetlak,NULL,NULL,NULL
196,NULL,D_R_A_K_E,NULL,NULL,NULL
197,NULL,BDORN,NULL,NULL,NULL
198,NULL,illinijunky10,NULL,NULL,NULL
199,NULL,carollama,NULL,NULL,NULL
200,NULL,dichai3,NULL,NULL,NULL
201,NULL,jmbeach3,NULL,NULL,NULL
202,NULL,therealazrel,NULL,NULL,NULL
203,NULL,chathamrise,NULL,NULL,NULL
204,NULL,soccerball22,NULL,NULL,NULL
205,NULL,clarissadiaz,NULL,NULL,NULL
206,NULL,ppending,NULL,NULL,NULL
207,NULL,uhhlampshade,NULL,NULL,NULL
208,NULL,CollinKlug,NULL,NULL,NULL
209,NULL,AbrahmNeuser,NULL,NULL,NULL
210,NULL,chandiniii,NULL,NULL,NULL
211,NULL,shortbreadtina,NULL,NULL,NULL
212,NULL,j1ack,NULL,NULL,NULL
213,NULL,rabbitheart-,NULL,NULL,NULL
214,NULL,norajeanine530,NULL,NULL,NULL
215,NULL,buggggg,NULL,NULL,NULL
216,NULL,stephenfalvo,NULL,NULL,NULL
217,NULL,plariers,NULL,NULL,NULL
218,NULL,DerekDtrick,NULL,NULL,NULL
219,NULL,gohomejacob,NULL,NULL,NULL
220,NULL,kdavis36,NULL,NULL,NULL
221,NULL,courtniqua,NULL,NULL,NULL
222,NULL,racheltbd,NULL,NULL,NULL
223,NULL,yesitelemarket,NULL,NULL,NULL
224,NULL,backseatdog,NULL,NULL,NULL
225,NULL,sixkindsofblue,NULL,NULL,NULL
226,NULL,Fraymuzic,NULL,NULL,NULL
227,NULL,MyNameIsMKP,NULL,NULL,NULL
228,NULL,jesyanne,NULL,NULL,NULL
229,NULL,JackGreenan,NULL,NULL,NULL
230,NULL,Skankie,NULL,NULL,NULL
231,NULL,VegginCruz,NULL,NULL,NULL
232,NULL,milfordcubical2,NULL,NULL,NULL
233,NULL,piccols,NULL,NULL,NULL
234,NULL,whatsupnow,NULL,NULL,NULL
235,NULL,Vanguardx1,NULL,NULL,NULL
236,NULL,jayyyteee,NULL,NULL,NULL
237,NULL,sk8drum90,NULL,NULL,NULL
238,NULL,Jondragon,NULL,NULL,NULL
239,NULL,BenjRowe,NULL,NULL,NULL
240,NULL,loudashope24,NULL,NULL,NULL
241,NULL,Amirjavdani,NULL,NULL,NULL
242,NULL,skitbraviking,NULL,NULL,NULL
243,NULL,anderwell,NULL,NULL,NULL
244,NULL,claretee,NULL,NULL,NULL
245,NULL,manynick,NULL,NULL,NULL
246,NULL,timothyemunroe,NULL,NULL,NULL
247,NULL,AnthonyEats,NULL,NULL,NULL
248,NULL,heybobnanna,NULL,NULL,NULL
249,NULL,lizasaurus,NULL,NULL,NULL
250,NULL,hopes_fallen,NULL,NULL,NULL
251,NULL,hayzeusofcool,NULL,NULL,NULL
252,NULL,Mavergade,NULL,NULL,NULL
253,NULL,acarman1004,NULL,NULL,NULL
254,NULL,jessieatworld,NULL,NULL,NULL
255,NULL,JMNix,NULL,NULL,NULL
256,NULL,crackerrrr,NULL,NULL,NULL
257,NULL,shelbyfawn,NULL,NULL,NULL
258,NULL,BruceMcD2020,NULL,NULL,NULL
259,NULL,MarissaM,NULL,NULL,NULL
260,NULL,Dispatch2010,NULL,NULL,NULL
261,NULL,dontmakemeatrgt,NULL,NULL,NULL
262,NULL,Glowsun,NULL,NULL,NULL
263,NULL,becca_cahill,NULL,NULL,NULL
264,NULL,TimmyJames,NULL,NULL,NULL
265,NULL,therewasatime,NULL,NULL,NULL
266,NULL,dolcedolori,NULL,NULL,NULL
267,NULL,ghostonastar,NULL,NULL,NULL
268,NULL,roguewolves,NULL,NULL,NULL
269,NULL,EchelonEffect,NULL,NULL,NULL
270,NULL,j_hut,NULL,NULL,NULL
271,NULL,jhutx,NULL,NULL,NULL
272,NULL,skies_explode,NULL,NULL,NULL
273,NULL,heyheyitsaiste,NULL,NULL,NULL
274,NULL,DaneHolt,NULL,NULL,NULL
275,NULL,"The Marc",NULL,NULL,NULL
276,NULL,elpotatoe,NULL,NULL,NULL
277,NULL,Windsong,NULL,NULL,NULL
278,NULL,never_relaxed,NULL,NULL,NULL
279,NULL,batteriesblue,NULL,NULL,NULL
280,NULL,brickwall_views,NULL,NULL,NULL
281,NULL,adamlopiano,NULL,NULL,NULL
282,NULL,lockdown20,NULL,NULL,NULL
283,NULL,Ratt_Fink,NULL,NULL,NULL
284,NULL,losientobambino,NULL,NULL,NULL
285,NULL,BDogDaRapStar,NULL,NULL,NULL
286,NULL,loisso,NULL,NULL,NULL
287,NULL,Jimonykriket,NULL,NULL,NULL
288,NULL,malyfyx,NULL,NULL,NULL
289,NULL,cogswellington,NULL,NULL,NULL
290,NULL,HorribleNoise,NULL,NULL,NULL
291,NULL,JonHeDoesIt,NULL,NULL,NULL
292,NULL,demonicdinosaur,NULL,NULL,NULL
293,NULL,imwiththem,NULL,NULL,NULL
294,NULL,webecamefire,NULL,NULL,NULL
295,NULL,flyingkeris,NULL,NULL,NULL
296,NULL,HusqyisonLastfm,NULL,NULL,NULL
297,NULL,phoenix_crush,NULL,NULL,NULL
298,NULL,eternalgenesis,NULL,NULL,NULL
299,NULL,rovneroni,NULL,NULL,NULL
300,NULL,jaguarcarbary,NULL,NULL,NULL
301,NULL,Haurix,NULL,NULL,NULL
302,NULL,nisamtoja,NULL,NULL,NULL
303,NULL,daftmagician,NULL,NULL,NULL
304,NULL,Ag0raphobia,NULL,NULL,NULL
305,NULL,derpetrator,NULL,NULL,NULL
306,NULL,charmingaxelotl,NULL,NULL,NULL
307,NULL,pppatricio,NULL,NULL,NULL
308,NULL,WARMNARWHALS,NULL,NULL,NULL
309,NULL,aA5hr0ud3dAa,NULL,NULL,NULL
310,NULL,aimtobreakkher,NULL,NULL,NULL
311,NULL,dildon,NULL,NULL,NULL
312,NULL,cderty,NULL,NULL,NULL
313,NULL,roguewavve,NULL,NULL,NULL
314,NULL,Ravager05,NULL,NULL,NULL
315,NULL,rummeltje,NULL,NULL,NULL
316,NULL,anignitionkey,NULL,NULL,NULL
317,NULL,KyleRWegman,NULL,NULL,NULL
318,NULL,cleija100,NULL,NULL,NULL
319,NULL,heckcomeshome,NULL,NULL,NULL
320,NULL,phattybeats,NULL,NULL,NULL
321,NULL,cylsrecords,NULL,NULL,NULL
322,NULL,photonegah,NULL,NULL,NULL
323,TheActualDevil,DeadMetal1m1,"2018-11-13 20:24:42",$5$rounds=535000$IGcWGDGpHKj3wBcW$mMPFgAlheKBXj7qL0KkAinlJv8NGXSY5uVRl4cFdfO2,Beelzebub@hell.com
